;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.36.25.935 E012.38.58.594 N055.36.26.471 E012.38.58.587 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.26.471 E012.38.58.587 N055.36.27.213 E012.38.58.347 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.213 E012.38.58.347 N055.36.27.062 E012.38.56.967 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.062 E012.38.56.967 N055.36.36.345 E012.38.53.825 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.36.345 E012.38.53.825 N055.36.36.057 E012.39.08.262 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.36.057 E012.39.08.262 N055.36.35.562 E012.39.08.949 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.562 E012.39.08.949 N055.36.35.562 E012.39.09.498 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.562 E012.39.09.498 N055.36.36.029 E012.39.10.106 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.36.029 E012.39.10.106 N055.36.35.892 E012.39.16.969 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.892 E012.39.16.969 N055.36.35.658 E012.39.17.525 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.658 E012.39.17.525 N055.36.35.425 E012.39.17.779 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.425 E012.39.17.779 N055.36.35.191 E012.39.17.885 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.35.191 E012.39.17.885 N055.36.34.848 E012.39.17.872 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.34.848 E012.39.17.872 N055.36.34.326 E012.39.17.820 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.34.326 E012.39.17.820 N055.36.34.175 E012.39.17.672 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.34.175 E012.39.17.672 N055.36.34.120 E012.39.17.442 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.34.120 E012.39.17.442 N055.36.34.148 E012.39.15.533 COLOR_TaxiwayBorder  ; C > N1 (outer)
