;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.37.37.704 E012.38.29.494 N055.37.37.786 E012.38.30.163 COLOR_HardSurface1 ; A14
N055.37.37.786 E012.38.30.163 N055.37.37.896 E012.38.30.304 COLOR_HardSurface1 ; A14
N055.37.37.896 E012.38.30.304 N055.37.37.896 E012.38.30.363 COLOR_HardSurface1 ; A14
N055.37.37.896 E012.38.30.363 N055.37.38.033 E012.38.30.613 COLOR_HardSurface1 ; A14
N055.37.38.033 E012.38.30.613 N055.37.38.102 E012.38.30.850 COLOR_HardSurface1 ; A14
N055.37.38.102 E012.38.30.850 N055.37.38.088 E012.38.31.059 COLOR_HardSurface1 ; A14
N055.37.38.088 E012.38.31.059 N055.37.38.047 E012.38.31.173 COLOR_HardSurface1 ; A14
N055.37.38.047 E012.38.31.173 N055.37.37.965 E012.38.31.197 COLOR_HardSurface1 ; A14
N055.37.37.965 E012.38.31.197 N055.37.37.814 E012.38.31.180 COLOR_HardSurface1 ; A14
N055.37.37.814 E012.38.31.180 N055.37.37.676 E012.38.31.104 COLOR_HardSurface1 ; A14
N055.37.37.676 E012.38.31.104 N055.37.37.429 E012.38.30.836 COLOR_HardSurface1 ; A14
N055.37.37.429 E012.38.30.836 N055.37.37.237 E012.38.31.022 COLOR_HardSurface1 ; A14
N055.37.37.237 E012.38.31.022 N055.37.36.811 E012.38.30.963 COLOR_HardSurface1 ; A14
N055.37.36.811 E012.38.30.963 N055.37.36.372 E012.38.31.389 COLOR_HardSurface1 ; A14
N055.37.36.372 E012.38.31.389 N055.37.35.685 E012.38.30.593 COLOR_HardSurface1 ; A14
;
N055.37.35.754 E012.38.30.407 N055.37.36.468 E012.38.31.235 COLOR_HardSurface1 ; A12
N055.37.36.468 E012.38.31.235 N055.37.36.605 E012.38.32.484 COLOR_HardSurface1 ; A12
N055.37.36.605 E012.38.32.484 N055.37.36.852 E012.38.32.776 COLOR_HardSurface1 ; A12
N055.37.36.852 E012.38.32.776 N055.37.36.619 E012.38.33.394 COLOR_HardSurface1 ; A12
N055.37.36.619 E012.38.33.394 N055.37.36.289 E012.38.33.016 COLOR_HardSurface1 ; A12
N055.37.36.289 E012.38.33.016 N055.37.36.207 E012.38.33.143 COLOR_HardSurface1 ; A12
N055.37.36.207 E012.38.33.143 N055.37.35.726 E012.38.33.291 COLOR_HardSurface1 ; A12
;
N055.37.37.278 E012.38.34.386 N055.37.37.704 E012.38.33.264 COLOR_HardSurface1 ; A11
N055.37.37.704 E012.38.33.264 N055.37.38.514 E012.38.32.893 COLOR_HardSurface1 ; A11
N055.37.38.514 E012.38.32.893 N055.37.38.555 E012.38.32.800 COLOR_HardSurface1 ; A11
N055.37.38.555 E012.38.32.800 N055.37.38.610 E012.38.32.762 COLOR_HardSurface1 ; A11
N055.37.38.610 E012.38.32.762 N055.37.38.679 E012.38.32.752 COLOR_HardSurface1 ; A11
N055.37.38.679 E012.38.32.752 N055.37.38.734 E012.38.32.783 COLOR_HardSurface1 ; A11
N055.37.38.734 E012.38.32.783 N055.37.38.775 E012.38.32.848 COLOR_HardSurface1 ; A11
N055.37.38.775 E012.38.32.848 N055.37.38.802 E012.38.32.937 COLOR_HardSurface1 ; A11
N055.37.38.802 E012.38.32.937 N055.37.38.816 E012.38.33.058 COLOR_HardSurface1 ; A11
N055.37.38.816 E012.38.33.058 N055.37.38.802 E012.38.33.178 COLOR_HardSurface1 ; A11
N055.37.38.802 E012.38.33.178 N055.37.38.775 E012.38.33.312 COLOR_HardSurface1 ; A11
N055.37.38.775 E012.38.33.312 N055.37.38.747 E012.38.33.446 COLOR_HardSurface1 ; A11
N055.37.38.747 E012.38.33.446 N055.37.38.816 E012.38.33.607 COLOR_HardSurface1 ; A11
N055.37.38.816 E012.38.33.607 N055.37.38.898 E012.38.34.682 COLOR_HardSurface1 ; A11
N055.37.38.898 E012.38.34.682 N055.37.38.583 E012.38.35.547 COLOR_HardSurface1 ; A11
;
N055.37.38.569 E012.38.35.530 N055.37.38.816 E012.38.34.613 COLOR_HardSurface1 ; A9
N055.37.38.816 E012.38.34.613 N055.37.39.530 E012.38.34.239 COLOR_HardSurface1 ; A9
N055.37.39.530 E012.38.34.239 N055.37.39.599 E012.38.33.995 COLOR_HardSurface1 ; A9
N055.37.39.599 E012.38.33.995 N055.37.39.681 E012.38.33.943 COLOR_HardSurface1 ; A9
N055.37.39.681 E012.38.33.943 N055.37.39.750 E012.38.33.947 COLOR_HardSurface1 ; A9
N055.37.39.750 E012.38.33.947 N055.37.39.832 E012.38.34.015 COLOR_HardSurface1 ; A9
N055.37.39.832 E012.38.34.015 N055.37.39.873 E012.38.34.136 COLOR_HardSurface1 ; A9
N055.37.39.873 E012.38.34.136 N055.37.39.901 E012.38.34.297 COLOR_HardSurface1 ; A9
N055.37.39.901 E012.38.34.297 N055.37.39.873 E012.38.34.417 COLOR_HardSurface1 ; A9
N055.37.39.873 E012.38.34.417 N055.37.39.860 E012.38.34.541 COLOR_HardSurface1 ; A9
N055.37.39.860 E012.38.34.541 N055.37.39.832 E012.38.34.606 COLOR_HardSurface1 ; A9
N055.37.39.832 E012.38.34.606 N055.37.40.079 E012.38.35.722 COLOR_HardSurface1 ; A9
N055.37.40.079 E012.38.35.722 N055.37.39.832 E012.38.36.559 COLOR_HardSurface1 ; A9
;
N055.37.39.901 E012.38.36.597 N055.37.39.970 E012.38.35.979 COLOR_HardSurface1 ; A7
N055.37.39.970 E012.38.35.979 N055.37.40.052 E012.38.35.787 COLOR_HardSurface1 ; A7
N055.37.40.052 E012.38.35.787 N055.37.40.670 E012.38.35.021 COLOR_HardSurface1 ; A7
N055.37.40.670 E012.38.35.021 N055.37.40.752 E012.38.34.953 COLOR_HardSurface1 ; A7
N055.37.40.752 E012.38.34.953 N055.37.40.821 E012.38.34.960 COLOR_HardSurface1 ; A7
N055.37.40.821 E012.38.34.960 N055.37.40.876 E012.38.35.008 COLOR_HardSurface1 ; A7
N055.37.40.876 E012.38.35.008 N055.37.40.917 E012.38.35.083 COLOR_HardSurface1 ; A7
N055.37.40.917 E012.38.35.083 N055.37.40.945 E012.38.35.214 COLOR_HardSurface1 ; A7
N055.37.40.945 E012.38.35.214 N055.37.40.958 E012.38.35.427 COLOR_HardSurface1 ; A7
N055.37.40.958 E012.38.35.427 N055.37.41.068 E012.38.35.550 COLOR_HardSurface1 ; A7
N055.37.41.068 E012.38.35.550 N055.37.41.315 E012.38.36.299 COLOR_HardSurface1 ; A7
N055.37.41.315 E012.38.36.299 N055.37.41.343 E012.38.36.494 COLOR_HardSurface1 ; A7
N055.37.41.343 E012.38.36.494 N055.37.41.247 E012.38.37.236 COLOR_HardSurface1 ; A7
;
N055.37.39.970 E012.38.39.989 N055.37.39.819 E012.38.41.321 COLOR_HardSurface1 ; B4
N055.37.39.819 E012.38.41.321 N055.37.39.310 E012.38.41.902 COLOR_HardSurface1 ; B4
N055.37.39.310 E012.38.41.902 N055.37.39.118 E012.38.41.843 COLOR_HardSurface1 ; B4
N055.37.39.118 E012.38.41.843 N055.37.39.077 E012.38.42.138 COLOR_HardSurface1 ; B4
N055.37.39.077 E012.38.42.138 N055.37.38.898 E012.38.42.077 COLOR_HardSurface1 ; B4
N055.37.38.898 E012.38.42.077 N055.37.38.926 E012.38.41.768 COLOR_HardSurface1 ; B4
N055.37.38.926 E012.38.41.768 N055.37.38.734 E012.38.41.696 COLOR_HardSurface1 ; B4
N055.37.38.734 E012.38.41.696 N055.37.38.404 E012.38.40.793 COLOR_HardSurface1 ; B4
N055.37.38.404 E012.38.40.793 N055.37.38.555 E012.38.39.474 COLOR_HardSurface1 ; B4
;
N055.37.38.432 E012.38.39.419 N055.37.38.280 E012.38.40.775 COLOR_HardSurface1 ; B6
N055.37.38.280 E012.38.40.775 N055.37.37.800 E012.38.41.356 COLOR_HardSurface1 ; B6
N055.37.37.800 E012.38.41.356 N055.37.37.594 E012.38.41.301 COLOR_HardSurface1 ; B6
N055.37.37.594 E012.38.41.301 N055.37.37.566 E012.38.41.582 COLOR_HardSurface1 ; B6
N055.37.37.566 E012.38.41.582 N055.37.37.374 E012.38.41.520 COLOR_HardSurface1 ; B6
N055.37.37.374 E012.38.41.520 N055.37.37.402 E012.38.41.212 COLOR_HardSurface1 ; B6
N055.37.37.402 E012.38.41.212 N055.37.37.209 E012.38.41.133 COLOR_HardSurface1 ; B6
N055.37.37.209 E012.38.41.133 N055.37.36.880 E012.38.40.247 COLOR_HardSurface1 ; B6
N055.37.36.880 E012.38.40.247 N055.37.37.086 E012.38.38.458 COLOR_HardSurface1 ; B6
;
N055.37.36.907 E012.38.40.055 N055.37.36.166 E012.38.40.927 COLOR_HardSurface1 ; B8
N055.37.36.166 E012.38.40.927 N055.37.36.138 E012.38.41.236 COLOR_HardSurface1 ; B8
N055.37.36.138 E012.38.41.236 N055.37.35.905 E012.38.41.163 COLOR_HardSurface1 ; B8
N055.37.35.905 E012.38.41.163 N055.37.35.877 E012.38.40.377 COLOR_HardSurface1 ; B8
N055.37.35.877 E012.38.40.377 N055.37.35.712 E012.38.40.329 COLOR_HardSurface1 ; B8
N055.37.35.712 E012.38.40.329 N055.37.35.424 E012.38.38.987 COLOR_HardSurface1 ; B8
N055.37.35.424 E012.38.38.987 N055.37.35.603 E012.38.37.325 COLOR_HardSurface1 ; B8
;
N055.37.35.438 E012.38.37.174 N055.37.35.259 E012.38.38.702 COLOR_HardSurface1 ; B10
N055.37.35.259 E012.38.38.702 N055.37.34.998 E012.38.40.000 COLOR_HardSurface1 ; B10
N055.37.34.998 E012.38.40.000 N055.37.35.012 E012.38.40.576 COLOR_HardSurface1 ; B10
N055.37.35.012 E012.38.40.576 N055.37.34.971 E012.38.40.765 COLOR_HardSurface1 ; B10
N055.37.34.971 E012.38.40.765 N055.37.34.902 E012.38.40.851 COLOR_HardSurface1 ; B10
N055.37.34.902 E012.38.40.851 N055.37.34.820 E012.38.40.892 COLOR_HardSurface1 ; B10
N055.37.34.820 E012.38.40.892 N055.37.34.710 E012.38.40.837 COLOR_HardSurface1 ; B10
N055.37.34.710 E012.38.40.837 N055.37.34.504 E012.38.40.412 COLOR_HardSurface1 ; B10
N055.37.34.504 E012.38.40.412 N055.37.33.501 E012.38.39.728 COLOR_HardSurface1 ; B10
N055.37.33.501 E012.38.39.728 N055.37.33.186 E012.38.39.124 COLOR_HardSurface1 ; B10
N055.37.33.186 E012.38.39.124 N055.37.33.034 E012.38.38.942 COLOR_HardSurface1 ; B10
N055.37.33.034 E012.38.38.942 N055.37.32.828 E012.38.38.115 COLOR_HardSurface1 ; B10
;
N055.37.32.568 E012.38.38.798 N055.37.33.034 E012.38.39.323 COLOR_HardSurface1 ; B16
N055.37.33.034 E012.38.39.323 N055.37.33.117 E012.38.39.512 COLOR_HardSurface1 ; B16
N055.37.33.117 E012.38.39.512 N055.37.33.309 E012.38.40.542 COLOR_HardSurface1 ; B16
N055.37.33.309 E012.38.40.542 N055.37.33.227 E012.38.40.769 COLOR_HardSurface1 ; B16
N055.37.33.227 E012.38.40.769 N055.37.33.364 E012.38.40.920 COLOR_HardSurface1 ; B16
N055.37.33.364 E012.38.40.920 N055.37.33.227 E012.38.41.297 COLOR_HardSurface1 ; B16
N055.37.33.227 E012.38.41.297 N055.37.33.089 E012.38.41.143 COLOR_HardSurface1 ; B16
N055.37.33.089 E012.38.41.143 N055.37.33.007 E012.38.41.359 COLOR_HardSurface1 ; B16
N055.37.33.007 E012.38.41.359 N055.37.32.403 E012.38.41.565 COLOR_HardSurface1 ; B16
N055.37.32.403 E012.38.41.565 N055.37.31.799 E012.38.40.875 COLOR_HardSurface1 ; B16
;
N055.37.31.853 E012.38.40.745 N055.37.32.059 E012.38.40.957 COLOR_HardSurface1 ; B19
N055.37.32.059 E012.38.40.957 N055.37.32.265 E012.38.41.157 COLOR_HardSurface1 ; B19
N055.37.32.265 E012.38.41.157 N055.37.32.801 E012.38.41.843 COLOR_HardSurface1 ; B19
N055.37.32.801 E012.38.41.843 N055.37.32.980 E012.38.42.475 COLOR_HardSurface1 ; B19
N055.37.32.980 E012.38.42.475 N055.37.32.952 E012.38.42.588 COLOR_HardSurface1 ; B19
N055.37.32.952 E012.38.42.588 N055.37.33.144 E012.38.42.726 COLOR_HardSurface1 ; B19
N055.37.33.144 E012.38.42.726 N055.37.33.062 E012.38.43.172 COLOR_HardSurface1 ; B19
N055.37.33.062 E012.38.43.172 N055.37.32.856 E012.38.43.096 COLOR_HardSurface1 ; B19
N055.37.32.856 E012.38.43.096 N055.37.32.746 E012.38.43.144 COLOR_HardSurface1 ; B19
N055.37.32.746 E012.38.43.144 N055.37.32.705 E012.38.43.364 COLOR_HardSurface1 ; B19
N055.37.32.705 E012.38.43.364 N055.37.32.485 E012.38.43.247 COLOR_HardSurface1 ; B19
N055.37.32.485 E012.38.43.247 N055.37.30.823 E012.38.44.095 COLOR_HardSurface1 ; B19
;
N055.37.33.062 E012.38.43.168 N055.37.33.144 E012.38.43.447 COLOR_HardSurface1 ; B15
N055.37.33.144 E012.38.43.447 N055.37.33.378 E012.38.43.690 COLOR_HardSurface1 ; B15
N055.37.33.378 E012.38.43.690 N055.37.33.694 E012.38.43.536 COLOR_HardSurface1 ; B15
N055.37.33.694 E012.38.43.536 N055.37.33.735 E012.38.43.845 COLOR_HardSurface1 ; B15
N055.37.33.735 E012.38.43.845 N055.37.33.515 E012.38.44.755 COLOR_HardSurface1 ; B15
N055.37.33.515 E012.38.44.755 N055.37.33.337 E012.38.44.847 COLOR_HardSurface1 ; B15
N055.37.33.337 E012.38.44.847 N055.37.33.117 E012.38.45.582 COLOR_HardSurface1 ; B15
;
N055.37.34.064 E012.38.45.719 N055.37.34.188 E012.38.44.604 COLOR_HardSurface1 ; B9
N055.37.34.188 E012.38.44.604 N055.37.34.586 E012.38.43.872 COLOR_HardSurface1 ; B9
N055.37.34.586 E012.38.43.872 N055.37.34.710 E012.38.42.798 COLOR_HardSurface1 ; B9
N055.37.34.710 E012.38.42.798 N055.37.35.245 E012.38.42.997 COLOR_HardSurface1 ; B9
N055.37.35.245 E012.38.42.997 N055.37.35.273 E012.38.42.774 COLOR_HardSurface1 ; B9
N055.37.35.273 E012.38.42.774 N055.37.35.520 E012.38.42.856 COLOR_HardSurface1 ; B9
N055.37.35.520 E012.38.42.856 N055.37.35.506 E012.38.43.048 COLOR_HardSurface1 ; B9
N055.37.35.506 E012.38.43.048 N055.37.35.699 E012.38.43.127 COLOR_HardSurface1 ; B9
N055.37.35.699 E012.38.43.127 N055.37.35.754 E012.38.43.230 COLOR_HardSurface1 ; B9
N055.37.35.754 E012.38.43.230 N055.37.35.863 E012.38.43.275 COLOR_HardSurface1 ; B9
N055.37.35.863 E012.38.43.275 N055.37.35.850 E012.38.43.498 COLOR_HardSurface1 ; B9
N055.37.35.850 E012.38.43.498 N055.37.36.138 E012.38.43.628 COLOR_HardSurface1 ; B9
N055.37.36.138 E012.38.43.628 N055.37.36.001 E012.38.44.765 COLOR_HardSurface1 ; B9
N055.37.36.001 E012.38.44.765 N055.37.36.042 E012.38.44.961 COLOR_HardSurface1 ; B9
N055.37.36.042 E012.38.44.961 N055.37.36.152 E012.38.45.012 COLOR_HardSurface1 ; B9
N055.37.36.152 E012.38.45.012 N055.37.36.083 E012.38.45.585 COLOR_HardSurface1 ; B9
N055.37.36.083 E012.38.45.585 N055.37.36.097 E012.38.45.860 COLOR_HardSurface1 ; B9
N055.37.36.097 E012.38.45.860 N055.37.36.166 E012.38.46.138 COLOR_HardSurface1 ; B9
N055.37.36.166 E012.38.46.138 N055.37.36.262 E012.38.46.399 COLOR_HardSurface1 ; B9
N055.37.36.262 E012.38.46.399 N055.37.36.372 E012.38.46.591 COLOR_HardSurface1 ; B9
;
N055.37.35.918 E012.38.46.409 N055.37.36.069 E012.38.45.101 COLOR_HardSurface1 ; B7
N055.37.36.069 E012.38.45.101 N055.37.36.440 E012.38.44.545 COLOR_HardSurface1 ; B7
N055.37.36.440 E012.38.44.545 N055.37.36.564 E012.38.43.471 COLOR_HardSurface1 ; B7
N055.37.36.564 E012.38.43.471 N055.37.37.099 E012.38.43.673 COLOR_HardSurface1 ; B7
N055.37.37.099 E012.38.43.673 N055.37.37.141 E012.38.43.436 COLOR_HardSurface1 ; B7
N055.37.37.141 E012.38.43.436 N055.37.37.388 E012.38.43.522 COLOR_HardSurface1 ; B7
N055.37.37.388 E012.38.43.522 N055.37.37.360 E012.38.43.707 COLOR_HardSurface1 ; B7
N055.37.37.360 E012.38.43.707 N055.37.37.511 E012.38.43.756 COLOR_HardSurface1 ; B7
N055.37.37.511 E012.38.43.756 N055.37.37.580 E012.38.43.889 COLOR_HardSurface1 ; B7
N055.37.37.580 E012.38.43.889 N055.37.37.772 E012.38.43.965 COLOR_HardSurface1 ; B7
N055.37.37.772 E012.38.43.965 N055.37.37.745 E012.38.44.195 COLOR_HardSurface1 ; B7
N055.37.37.745 E012.38.44.195 N055.37.37.992 E012.38.44.291 COLOR_HardSurface1 ; B7
N055.37.37.992 E012.38.44.291 N055.37.37.868 E012.38.45.335 COLOR_HardSurface1 ; B7
N055.37.37.868 E012.38.45.335 N055.37.37.910 E012.38.45.489 COLOR_HardSurface1 ; B7
N055.37.37.910 E012.38.45.489 N055.37.37.855 E012.38.45.599 COLOR_HardSurface1 ; B7
N055.37.37.855 E012.38.45.599 N055.37.37.868 E012.38.45.675 COLOR_HardSurface1 ; B7
N055.37.37.868 E012.38.45.675 N055.37.37.937 E012.38.45.754 COLOR_HardSurface1 ; B7
N055.37.37.937 E012.38.45.754 N055.37.37.786 E012.38.47.099 COLOR_HardSurface1 ; B7
;
N055.37.36.948 E012.38.55.212 N055.37.36.770 E012.38.56.675 COLOR_HardSurface1 ; C28
N055.37.36.770 E012.38.56.675 N055.37.36.509 E012.38.56.915 COLOR_HardSurface1 ; C28
N055.37.36.509 E012.38.56.915 N055.37.36.385 E012.38.57.444 COLOR_HardSurface1 ; C28
N055.37.36.385 E012.38.57.444 N055.37.35.699 E012.38.58.220 COLOR_HardSurface1 ; C28
N055.37.35.699 E012.38.58.220 N055.37.35.534 E012.38.58.669 COLOR_HardSurface1 ; C28
N055.37.35.534 E012.38.58.669 N055.37.35.287 E012.38.58.594 COLOR_HardSurface1 ; C28
N055.37.35.287 E012.38.58.594 N055.37.35.218 E012.38.58.031 COLOR_HardSurface1 ; C28
N055.37.35.218 E012.38.58.031 N055.37.34.971 E012.38.57.931 COLOR_HardSurface1 ; C28
N055.37.34.971 E012.38.57.931 N055.37.35.053 E012.38.57.262 COLOR_HardSurface1 ; C28
N055.37.35.053 E012.38.57.262 N055.37.34.737 E012.38.56.651 COLOR_HardSurface1 ; C28
N055.37.34.737 E012.38.56.651 N055.37.34.751 E012.38.56.266 COLOR_HardSurface1 ; C28
N055.37.34.751 E012.38.56.266 N055.37.34.559 E012.38.55.875 COLOR_HardSurface1 ; C28
N055.37.34.559 E012.38.55.875 N055.37.34.627 E012.38.55.315 COLOR_HardSurface1 ; C28
N055.37.34.627 E012.38.55.315 N055.37.34.655 E012.38.54.385 COLOR_HardSurface1 ; C28
;
N055.37.34.737 E012.38.54.405 N055.37.34.627 E012.38.55.308 COLOR_HardSurface1 ; C30
N055.37.34.627 E012.38.55.308 N055.37.34.627 E012.38.55.645 COLOR_HardSurface1 ; C30
N055.37.34.627 E012.38.55.645 N055.37.34.531 E012.38.55.885 COLOR_HardSurface1 ; C30
N055.37.34.531 E012.38.55.885 N055.37.34.380 E012.38.56.016 COLOR_HardSurface1 ; C30
N055.37.34.380 E012.38.56.016 N055.37.34.325 E012.38.56.428 COLOR_HardSurface1 ; C30
N055.37.34.325 E012.38.56.428 N055.37.34.023 E012.38.56.699 COLOR_HardSurface1 ; C30
N055.37.34.023 E012.38.56.699 N055.37.34.023 E012.38.57.255 COLOR_HardSurface1 ; C30
N055.37.34.023 E012.38.57.255 N055.37.33.900 E012.38.57.588 COLOR_HardSurface1 ; C30
N055.37.33.900 E012.38.57.588 N055.37.33.707 E012.38.57.578 COLOR_HardSurface1 ; C30
N055.37.33.707 E012.38.57.578 N055.37.33.598 E012.38.57.234 COLOR_HardSurface1 ; C30
N055.37.33.598 E012.38.57.234 N055.37.33.598 E012.38.56.682 COLOR_HardSurface1 ; C30
N055.37.33.598 E012.38.56.682 N055.37.33.323 E012.38.56.397 COLOR_HardSurface1 ; C30
N055.37.33.323 E012.38.56.397 N055.37.33.254 E012.38.55.978 COLOR_HardSurface1 ; C30
N055.37.33.254 E012.38.55.978 N055.37.33.007 E012.38.55.748 COLOR_HardSurface1 ; C30
N055.37.33.007 E012.38.55.748 N055.37.33.034 E012.38.54.158 COLOR_HardSurface1 ; C30
;
N055.37.33.268 E012.38.54.172 N055.37.33.172 E012.38.54.443 COLOR_HardSurface1 ; C32
N055.37.33.172 E012.38.54.443 N055.37.33.089 E012.38.54.852 COLOR_HardSurface1 ; C32
N055.37.33.089 E012.38.54.852 N055.37.33.103 E012.38.55.765 COLOR_HardSurface1 ; C32
N055.37.33.103 E012.38.55.765 N055.37.32.883 E012.38.56.012 COLOR_HardSurface1 ; C32
N055.37.32.883 E012.38.56.012 N055.37.32.883 E012.38.56.369 COLOR_HardSurface1 ; C32
N055.37.32.883 E012.38.56.369 N055.37.32.265 E012.38.57.389 COLOR_HardSurface1 ; C32
N055.37.32.265 E012.38.57.389 N055.37.32.238 E012.38.57.622 COLOR_HardSurface1 ; C32
N055.37.32.238 E012.38.57.622 N055.37.32.156 E012.38.57.897 COLOR_HardSurface1 ; C32
N055.37.32.156 E012.38.57.897 N055.37.32.059 E012.38.58.038 COLOR_HardSurface1 ; C32
N055.37.32.059 E012.38.58.038 N055.37.31.977 E012.38.58.051 COLOR_HardSurface1 ; C32
N055.37.31.977 E012.38.58.051 N055.37.31.867 E012.38.57.935 COLOR_HardSurface1 ; C32
N055.37.31.867 E012.38.57.935 N055.37.31.757 E012.38.57.664 COLOR_HardSurface1 ; C32
N055.37.31.757 E012.38.57.664 N055.37.31.744 E012.38.57.341 COLOR_HardSurface1 ; C32
N055.37.31.744 E012.38.57.341 N055.37.31.235 E012.38.56.582 COLOR_HardSurface1 ; C32
N055.37.31.235 E012.38.56.582 N055.37.30.837 E012.38.55.792 COLOR_HardSurface1 ; C32
N055.37.30.837 E012.38.55.792 N055.37.30.810 E012.38.54.172 COLOR_HardSurface1 ; C32
;
N055.37.31.084 E012.38.54.172 N055.37.30.961 E012.38.54.433 COLOR_HardSurface1 ; C34
N055.37.30.961 E012.38.54.433 N055.37.30.892 E012.38.54.776 COLOR_HardSurface1 ; C34
N055.37.30.892 E012.38.54.776 N055.37.30.892 E012.38.55.799 COLOR_HardSurface1 ; C34
N055.37.30.892 E012.38.55.799 N055.37.30.741 E012.38.56.125 COLOR_HardSurface1 ; C34
N055.37.30.741 E012.38.56.125 N055.37.30.755 E012.38.56.620 COLOR_HardSurface1 ; C34
N055.37.30.755 E012.38.56.620 N055.37.30.508 E012.38.56.620 COLOR_HardSurface1 ; C34
N055.37.30.508 E012.38.56.620 N055.37.30.041 E012.38.57.581 COLOR_HardSurface1 ; C34
N055.37.30.041 E012.38.57.581 N055.37.30.041 E012.38.58.089 COLOR_HardSurface1 ; C34
N055.37.30.041 E012.38.58.089 N055.37.29.546 E012.38.58.127 COLOR_HardSurface1 ; C34
N055.37.29.546 E012.38.58.127 N055.37.29.546 E012.38.57.296 COLOR_HardSurface1 ; C34
N055.37.29.546 E012.38.57.296 N055.37.29.313 E012.38.57.118 COLOR_HardSurface1 ; C34
N055.37.29.313 E012.38.57.118 N055.37.28.983 E012.38.56.616 COLOR_HardSurface1 ; C34
N055.37.28.983 E012.38.56.616 N055.37.28.640 E012.38.55.950 COLOR_HardSurface1 ; C34
N055.37.28.640 E012.38.55.950 N055.37.28.612 E012.38.54.436 COLOR_HardSurface1 ; C34
;
N055.37.23.627 E012.39.02.738 N055.37.23.888 E012.39.02.460 COLOR_HardSurface1 ; C39
N055.37.23.888 E012.39.02.460 N055.37.23.916 E012.39.02.013 COLOR_HardSurface1 ; C39
N055.37.23.916 E012.39.02.013 N055.37.23.943 E012.39.01.876 COLOR_HardSurface1 ; C39
N055.37.23.943 E012.39.01.876 N055.37.24.026 E012.39.01.728 COLOR_HardSurface1 ; C39
N055.37.24.026 E012.39.01.728 N055.37.24.479 E012.39.01.275 COLOR_HardSurface1 ; C39
N055.37.24.479 E012.39.01.275 N055.37.24.781 E012.39.01.323 COLOR_HardSurface1 ; C39
N055.37.24.781 E012.39.01.323 N055.37.24.822 E012.39.00.894 COLOR_HardSurface1 ; C39
N055.37.24.822 E012.39.00.894 N055.37.24.973 E012.39.00.420 COLOR_HardSurface1 ; C39
N055.37.24.973 E012.39.00.420 N055.37.25.056 E012.39.00.266 COLOR_HardSurface1 ; C39
N055.37.25.056 E012.39.00.266 N055.37.25.152 E012.39.00.262 COLOR_HardSurface1 ; C39
N055.37.25.152 E012.39.00.262 N055.37.25.220 E012.39.00.365 COLOR_HardSurface1 ; C39
N055.37.25.220 E012.39.00.365 N055.37.25.275 E012.39.00.506 COLOR_HardSurface1 ; C39
N055.37.25.275 E012.39.00.506 N055.37.25.303 E012.39.00.712 COLOR_HardSurface1 ; C39
N055.37.25.303 E012.39.00.712 N055.37.25.660 E012.39.00.774 COLOR_HardSurface1 ; C39
N055.37.25.660 E012.39.00.774 N055.37.25.619 E012.39.01.509 COLOR_HardSurface1 ; C39
N055.37.25.619 E012.39.01.509 N055.37.26.003 E012.39.02.096 COLOR_HardSurface1 ; C39
N055.37.26.003 E012.39.02.096 N055.37.26.072 E012.39.02.288 COLOR_HardSurface1 ; C39
N055.37.26.072 E012.39.02.288 N055.37.26.072 E012.39.02.463 COLOR_HardSurface1 ; C39
N055.37.26.072 E012.39.02.463 N055.37.26.058 E012.39.02.865 COLOR_HardSurface1 ; C39
N055.37.26.058 E012.39.02.865 N055.37.26.374 E012.39.03.383 COLOR_HardSurface1 ; C39
N055.37.26.374 E012.39.03.383 N055.37.26.278 E012.39.04.987 COLOR_HardSurface1 ; C39
;
N055.37.28.255 E012.38.54.234 N055.37.28.297 E012.38.56.108 COLOR_HardSurface1 ; C36
N055.37.28.297 E012.38.56.108 N055.37.28.159 E012.38.56.472 COLOR_HardSurface1 ; C36
N055.37.28.159 E012.38.56.472 N055.37.27.981 E012.38.56.675 COLOR_HardSurface1 ; C36
N055.37.27.981 E012.38.56.675 N055.37.27.981 E012.38.57.063 COLOR_HardSurface1 ; C36
N055.37.27.981 E012.38.57.063 N055.37.27.363 E012.38.58.093 COLOR_HardSurface1 ; C36
N055.37.27.363 E012.38.58.093 N055.37.27.363 E012.38.58.254 COLOR_HardSurface1 ; C36
N055.37.27.363 E012.38.58.254 N055.37.27.322 E012.38.58.488 COLOR_HardSurface1 ; C36
N055.37.27.322 E012.38.58.488 N055.37.27.253 E012.38.58.700 COLOR_HardSurface1 ; C36
N055.37.27.253 E012.38.58.700 N055.37.27.157 E012.38.58.786 COLOR_HardSurface1 ; C36
N055.37.27.157 E012.38.58.786 N055.37.27.074 E012.38.58.779 COLOR_HardSurface1 ; C36
N055.37.27.074 E012.38.58.779 N055.37.26.992 E012.38.58.694 COLOR_HardSurface1 ; C36
N055.37.26.992 E012.38.58.694 N055.37.26.937 E012.38.58.566 COLOR_HardSurface1 ; C36
N055.37.26.937 E012.38.58.566 N055.37.26.923 E012.38.58.398 COLOR_HardSurface1 ; C36
N055.37.26.923 E012.38.58.398 N055.37.26.607 E012.38.58.409 COLOR_HardSurface1 ; C36
N055.37.26.607 E012.38.58.409 N055.37.26.607 E012.38.57.691 COLOR_HardSurface1 ; C36
