;>>>>> Roenne Airport  <<<<<
N055.04.03.539 E014.44.43.077 N055.04.02.839 E014.44.42.075 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.839 E014.44.42.075 N055.04.02.715 E014.44.41.948 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.715 E014.44.41.948 N055.04.02.591 E014.44.41.838 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.591 E014.44.41.838 N055.04.02.481 E014.44.41.762 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.481 E014.44.41.762 N055.04.02.344 E014.44.41.656 COLOR_TaxiwayBorder ; TWY A B
N055.04.02.344 E014.44.41.656 N055.04.01.720 E014.44.42.075 COLOR_TaxiwayBorder ; TWY A B
;
;
N055.04.06.849 E014.44.50.469 N055.04.06.739 E014.44.50.493 COLOR_TaxiwayBorder ; At apron
N055.04.06.739 E014.44.50.493 N055.04.06.629 E014.44.50.534 COLOR_TaxiwayBorder ; At apron
N055.04.06.629 E014.44.50.534 N055.04.06.505 E014.44.50.620 COLOR_TaxiwayBorder ; At apron
N055.04.06.505 E014.44.50.620 N055.04.06.395 E014.44.50.713 COLOR_TaxiwayBorder ; At apron
N055.04.06.395 E014.44.50.713 N055.04.06.354 E014.44.50.774 COLOR_TaxiwayBorder ; At apron
N055.04.06.354 E014.44.50.774 N055.04.06.286 E014.44.50.853 COLOR_TaxiwayBorder ; At apron
N055.04.06.286 E014.44.50.853 N055.04.05.201 E014.44.53.167 COLOR_TaxiwayBorder ; At apron
N055.04.05.201 E014.44.53.167 N055.04.05.146 E014.44.53.318 COLOR_TaxiwayBorder ; At apron
N055.04.05.146 E014.44.53.318 N055.04.05.132 E014.44.53.466 COLOR_TaxiwayBorder ; At apron
N055.04.05.132 E014.44.53.466 N055.04.05.146 E014.44.53.610 COLOR_TaxiwayBorder ; At apron
N055.04.05.146 E014.44.53.610 N055.04.05.173 E014.44.53.727 COLOR_TaxiwayBorder ; At apron
N055.04.05.173 E014.44.53.727 N055.04.05.228 E014.44.53.830 COLOR_TaxiwayBorder ; At apron
N055.04.05.228 E014.44.53.830 N055.04.05.297 E014.44.53.899 COLOR_TaxiwayBorder ; At apron
N055.04.05.297 E014.44.53.899 N055.04.05.379 E014.44.53.943 COLOR_TaxiwayBorder ; At apron
N055.04.05.379 E014.44.53.943 N055.04.05.475 E014.44.53.978 COLOR_TaxiwayBorder ; At apron
N055.04.05.475 E014.44.53.978 N055.04.05.585 E014.44.53.988 COLOR_TaxiwayBorder ; At apron
N055.04.05.585 E014.44.53.988 N055.04.05.750 E014.44.53.967 COLOR_TaxiwayBorder ; At apron
N055.04.05.750 E014.44.53.967 N055.04.05.860 E014.44.53.916 COLOR_TaxiwayBorder ; At apron
N055.04.05.860 E014.44.53.916 N055.04.05.942 E014.44.53.871 COLOR_TaxiwayBorder ; At apron
N055.04.05.942 E014.44.53.871 N055.04.06.052 E014.44.53.772 COLOR_TaxiwayBorder ; At apron
