N057.05.34.931 E009.50.03.123 N057.05.35.316 E009.50.02.937 COLOR_TaxiwayBorder ; Island DE
N057.05.35.316 E009.50.02.937 N057.05.35.604 E009.50.02.875 COLOR_TaxiwayBorder ; Island DE
N057.05.35.604 E009.50.02.875 N057.05.35.879 E009.50.02.906 COLOR_TaxiwayBorder ; Island DE
N057.05.35.879 E009.50.02.906 N057.05.36.126 E009.50.02.972 COLOR_TaxiwayBorder ; Island DE
N057.05.36.126 E009.50.02.972 N057.05.36.332 E009.50.03.078 COLOR_TaxiwayBorder ; Island DE
N057.05.36.332 E009.50.03.078 N057.05.36.524 E009.50.03.250 COLOR_TaxiwayBorder ; Island DE
N057.05.36.524 E009.50.03.250 N057.05.36.648 E009.50.03.452 COLOR_TaxiwayBorder ; Island DE
N057.05.36.648 E009.50.03.452 N057.05.36.785 E009.50.03.744 COLOR_TaxiwayBorder ; Island DE
N057.05.36.785 E009.50.03.744 N057.05.36.847 E009.50.04.000 COLOR_TaxiwayBorder ; Island DE
N057.05.36.847 E009.50.04.000 N057.05.38.667 E009.50.32.220 COLOR_TaxiwayBorder ; 26R / 08L
;
;
N057.05.39.917 E009.50.28.350 N057.05.40.040 E009.50.28.841 COLOR_TaxiwayBorder ; Island G F
N057.05.40.040 E009.50.28.841 N057.05.40.301 E009.50.29.308 COLOR_TaxiwayBorder ; Island G F
N057.05.40.301 E009.50.29.308 N057.05.40.617 E009.50.29.449 COLOR_TaxiwayBorder ; Island G F
N057.05.40.617 E009.50.29.449 N057.05.40.905 E009.50.29.473 COLOR_TaxiwayBorder ; Island G F
N057.05.40.905 E009.50.29.473 N057.05.41.221 E009.50.29.270 COLOR_TaxiwayBorder ; Island G F
N057.05.41.221 E009.50.29.270 N057.05.42.498 E009.50.27.354 COLOR_TaxiwayBorder ; Island G F
N057.05.42.498 E009.50.27.354 N057.05.45.080 E009.50.23.547 COLOR_TaxiwayBorder ; Island G F
N057.05.45.080 E009.50.23.547 N057.05.45.712 E009.50.22.640 COLOR_TaxiwayBorder ; Island G F
N057.05.45.712 E009.50.22.640 N057.05.45.808 E009.50.22.342 COLOR_TaxiwayBorder ; Island G F
N057.05.45.808 E009.50.22.342 N057.05.45.918 E009.50.21.755 COLOR_TaxiwayBorder ; Island G F
N057.05.45.918 E009.50.21.755 N057.05.46.069 E009.50.20.824 COLOR_TaxiwayBorder ; Island G F
N057.05.46.069 E009.50.20.824 N057.05.46.151 E009.50.19.880 COLOR_TaxiwayBorder ; Island G F
