; >>> EKEB - Esbjerg <<<
N055.31.24.938 E008.33.16.136 N055.31.24.855 E008.33.16.360 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.855 E008.33.16.360 N055.31.24.649 E008.33.16.394 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.649 E008.33.16.394 N055.31.24.526 E008.33.16.222 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.526 E008.33.16.222 N055.31.24.457 E008.33.15.978 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.24.457 E008.33.15.978 N055.31.22.218 E008.33.15.409 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.22.218 E008.33.15.409 N055.31.22.040 E008.33.15.659 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
N055.31.22.040 E008.33.15.659 N055.31.21.958 E008.33.16.940 COLOR_TaxiwayBorder ; Island COLOR_ApronSurface
;
;
N055.31.22.658 E008.33.09.898 N055.31.21.037 E008.33.10.369 COLOR_TaxiwayBorder ; Island E G
N055.31.21.037 E008.33.10.369 N055.31.20.886 E008.33.08.892 COLOR_TaxiwayBorder ; Island E G
N055.31.20.886 E008.33.08.892 N055.31.20.770 E008.33.08.930 COLOR_TaxiwayBorder ; Island E G
N055.31.20.770 E008.33.08.930 N055.31.20.680 E008.33.09.275 COLOR_TaxiwayBorder
N055.31.20.680 E008.33.09.275 N055.31.20.392 E008.33.10.369 COLOR_TaxiwayBorder ; Island E G
N055.31.20.392 E008.33.10.369 N055.31.20.419 E008.33.10.729 COLOR_TaxiwayBorder ; Island E G
N055.31.20.419 E008.33.10.729 N055.31.20.570 E008.33.10.585 COLOR_TaxiwayBorder ; Island E G
N055.31.20.570 E008.33.10.585 N055.31.21.257 E008.33.10.763 COLOR_TaxiwayBorder ; Island E G
N055.31.21.257 E008.33.10.763 N055.31.21.175 E008.33.11.711 COLOR_TaxiwayBorder ; Island E G
N055.31.21.175 E008.33.11.711 N055.31.21.216 E008.33.11.865 COLOR_TaxiwayBorder ; Island E G
N055.31.21.216 E008.33.11.865 N055.31.21.312 E008.33.11.934 COLOR_TaxiwayBorder ; Island E G
N055.31.21.312 E008.33.11.934 N055.31.25.185 E008.33.12.967 COLOR_TaxiwayBorder ; Island E G
N055.31.25.185 E008.33.12.967 N055.31.24.704 E008.33.08.604 COLOR_TaxiwayBorder ; Island E G
N055.31.24.704 E008.33.08.604 N055.31.24.622 E008.33.08.254 COLOR_TaxiwayBorder ; Island E G
N055.31.24.622 E008.33.08.254 N055.31.24.539 E008.33.08.051 COLOR_TaxiwayBorder ; Island E G
N055.31.24.539 E008.33.08.051 N055.31.24.388 E008.33.07.938 COLOR_TaxiwayBorder ; Island E G
N055.31.24.388 E008.33.07.938 N055.31.24.100 E008.33.07.883 COLOR_TaxiwayBorder ; Island E G
N055.31.24.100 E008.33.07.883 N055.31.22.685 E008.33.08.315 COLOR_TaxiwayBorder ; Island E G
N055.31.22.685 E008.33.08.315 N055.31.22.548 E008.33.08.710 COLOR_TaxiwayBorder ; Island E G
N055.31.22.548 E008.33.08.710 N055.31.22.658 E008.33.09.898 COLOR_TaxiwayBorder ; Island E G
;
;
N055.31.18.881 E008.33.01.909 N055.31.18.730 E008.33.00.289 COLOR_Building2 ; Terminal
