; >>> EKAH - aarhus <<<
N056.18.09.244 E010.37.42.750 N056.18.16.951 E010.36.26.581 COLOR_TaxiwayBorder
;
;
N056.18.20.157 E010.35.54.892 N056.18.20.404 E010.35.54.127 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.20.404 E010.35.54.127 N056.18.20.555 E010.35.53.790 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.20.555 E010.35.53.790 N056.18.20.788 E010.35.53.406 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.20.788 E010.35.53.406 N056.18.21.036 E010.35.53.069 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.21.036 E010.35.53.069 N056.18.21.351 E010.35.52.822 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.21.351 E010.35.52.822 N056.18.21.695 E010.35.52.685 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.21.695 E010.35.52.685 N056.18.22.038 E010.35.52.613 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.22.038 E010.35.52.613 N056.18.25.004 E010.35.52.764 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.004 E010.35.52.764 N056.18.25.485 E010.35.53.306 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.485 E010.35.53.306 N056.18.25.718 E010.35.53.752 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.718 E010.35.53.752 N056.18.25.870 E010.35.54.254 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.870 E010.35.54.254 N056.18.25.966 E010.35.54.786 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.966 E010.35.54.786 N056.18.25.993 E010.35.55.150 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.25.993 E010.35.55.150 N056.18.26.061 E010.35.55.242 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.26.061 E010.35.55.242 N056.18.23.113 E010.36.24.494 COLOR_TaxiwayBorder ; RWY 28R / 10L
N056.18.23.113 E010.36.24.494 N056.18.23.041 E010.36.24.799 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.23.041 E010.36.24.799 N056.18.22.931 E010.36.25.081 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.22.931 E010.36.25.081 N056.18.22.574 E010.36.25.623 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.22.574 E010.36.25.623 N056.18.17.781 E010.36.24.082 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.17.781 E010.36.24.082 N056.18.17.630 E010.36.23.797 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.17.630 E010.36.23.797 N056.18.17.324 E010.36.22.890 COLOR_TaxiwayBorder ; TWY Z Y
N056.18.20.157 E010.35.54.892 N056.18.17.324 E010.36.22.890 COLOR_TaxiwayBorder
;
;
N056.18.15.791 E010.37.44.273 N056.18.17.992 E010.37.22.475 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.17.992 E010.37.22.475 N056.18.18.179 E010.37.22.089 COLOR_TaxiwayBorder ; TWY W Apron E (west)
N056.18.18.179 E010.37.22.089 N056.18.18.385 E010.37.21.801 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.18.385 E010.37.21.801 N056.18.18.550 E010.37.21.629 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.18.550 E010.37.21.629 N056.18.18.742 E010.37.21.519 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.18.742 E010.37.21.519 N056.18.19.017 E010.37.21.468 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.19.017 E010.37.21.468 N056.18.19.154 E010.37.21.478 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.19.154 E010.37.21.478 N056.18.19.264 E010.37.21.530 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.19.264 E010.37.21.530 N056.18.19.443 E010.37.21.688 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.19.443 E010.37.21.688 N056.18.22.272 E010.37.26.058 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.22.272 E010.37.26.058 N056.18.22.505 E010.37.26.652 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.22.505 E010.37.26.652 N056.18.22.725 E010.37.27.473 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.22.725 E010.37.27.473 N056.18.22.944 E010.37.28.396 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.22.944 E010.37.28.396 N056.18.23.096 E010.37.29.289 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.23.096 E010.37.29.289 N056.18.23.260 E010.37.30.463 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.23.260 E010.37.30.463 N056.18.23.356 E010.37.31.514 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.23.356 E010.37.31.514 N056.18.23.370 E010.37.33.182 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.23.370 E010.37.33.182 N056.18.23.356 E010.37.33.587 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.23.356 E010.37.33.587 N056.18.22.272 E010.37.44.113 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.22.272 E010.37.44.113 N056.18.21.873 E010.37.46.338 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.21.873 E010.37.46.338 N056.18.21.708 E010.37.46.785 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.21.708 E010.37.46.785 N056.18.21.557 E010.37.47.042 COLOR_TaxiwayBorder ; TWY W Apron E
N056.18.21.557 E010.37.47.042 N056.18.21.338 E010.37.47.265 COLOR_TaxiwayBorder ; TWY W Apron E
