; >>> EKBI - Billund <<<
;
; RWY External lines
N055.44.06.894 E009.08.59.610 N055.44.06.839 E009.08.57.506 COLOR_TaxiwayBorder ; South Term
N055.44.06.839 E009.08.57.506 N055.44.07.183 E009.08.57.488 COLOR_TaxiwayBorder ; South Term
N055.44.07.183 E009.08.57.488 N055.44.07.238 E009.08.57.413 COLOR_TaxiwayBorder ; South Term
N055.44.07.238 E009.08.57.413 N055.44.07.279 E009.08.57.296 COLOR_TaxiwayBorder ; South Term
N055.44.07.279 E009.08.57.296 N055.44.07.210 E009.08.55.010 COLOR_TaxiwayBorder ; South Term
N055.44.07.210 E009.08.55.010 N055.44.07.169 E009.08.54.883 COLOR_TaxiwayBorder ; South Term
N055.44.07.169 E009.08.54.883 N055.44.07.128 E009.08.54.817 COLOR_TaxiwayBorder ; South Term
N055.44.07.128 E009.08.54.817 N055.44.07.073 E009.08.54.800 COLOR_TaxiwayBorder ; South Term
N055.44.07.073 E009.08.54.800 N055.44.05.590 E009.08.54.944 COLOR_TaxiwayBorder ; South Term
N055.44.05.590 E009.08.54.944 N055.44.05.494 E009.08.55.010 COLOR_TaxiwayBorder ; South Term
N055.44.05.494 E009.08.55.010 N055.44.05.411 E009.08.55.126 COLOR_TaxiwayBorder ; South Term
N055.44.05.411 E009.08.55.126 N055.44.05.384 E009.08.55.243 COLOR_TaxiwayBorder ; South Term
N055.44.05.384 E009.08.55.243 N055.44.05.397 E009.08.56.180 COLOR_TaxiwayBorder ; South Term
N055.44.05.397 E009.08.56.180 N055.44.04.601 E009.08.56.222 COLOR_TaxiwayBorder ; South Term
N055.44.04.601 E009.08.56.222 N055.44.04.560 E009.08.55.240 COLOR_TaxiwayBorder ; South Term
N055.44.04.560 E009.08.55.240 N055.44.04.532 E009.08.55.140 COLOR_TaxiwayBorder ; South Term
N055.44.04.532 E009.08.55.140 N055.44.04.491 E009.08.55.082 COLOR_TaxiwayBorder ; South Term
N055.44.04.491 E009.08.55.082 N055.44.04.436 E009.08.55.058 COLOR_TaxiwayBorder ; South Term
N055.44.04.436 E009.08.55.058 N055.44.04.244 E009.08.55.068 COLOR_TaxiwayBorder ; South Term
N055.44.04.244 E009.08.55.068 N055.44.04.161 E009.08.55.133 COLOR_TaxiwayBorder ; South Term
N055.44.04.161 E009.08.55.133 N055.44.04.120 E009.08.55.240 COLOR_TaxiwayBorder ; South Term
N055.44.04.120 E009.08.55.240 N055.44.04.107 E009.08.55.356 COLOR_TaxiwayBorder ; South Term
N055.44.04.107 E009.08.55.356 N055.44.04.175 E009.08.57.540 COLOR_TaxiwayBorder ; South Term
N055.44.04.175 E009.08.57.540 N055.44.04.409 E009.08.57.753 COLOR_TaxiwayBorder ; South Term
N055.44.04.409 E009.08.57.753 N055.44.04.491 E009.09.00.242 COLOR_TaxiwayBorder ; South Term
N055.44.04.491 E009.09.00.242 N055.44.03.777 E009.09.00.324 COLOR_TaxiwayBorder ; South Term
N055.44.03.777 E009.09.00.324 N055.44.03.695 E009.08.57.190 COLOR_TaxiwayBorder ; South Term
N055.44.03.695 E009.08.57.190 N055.44.03.928 E009.08.56.713 COLOR_TaxiwayBorder ; South Term
N055.44.03.928 E009.08.56.713 N055.44.03.887 E009.08.55.346 COLOR_TaxiwayBorder ; South Term
N055.44.03.887 E009.08.55.346 N055.44.03.859 E009.08.55.247 COLOR_TaxiwayBorder ; South Term
N055.44.03.859 E009.08.55.247 N055.44.03.818 E009.08.55.174 COLOR_TaxiwayBorder ; South Term
N055.44.03.818 E009.08.55.174 N055.44.03.763 E009.08.55.144 COLOR_TaxiwayBorder ; South Term
N055.44.03.763 E009.08.55.144 N055.44.03.571 E009.08.55.161 COLOR_TaxiwayBorder ; South Term
N055.44.03.571 E009.08.55.161 N055.44.03.516 E009.08.55.209 COLOR_TaxiwayBorder ; South Term
N055.44.03.516 E009.08.55.209 N055.44.03.489 E009.08.55.394 COLOR_TaxiwayBorder ; South Term
N055.44.03.489 E009.08.55.394 N055.44.03.530 E009.08.56.386 COLOR_TaxiwayBorder ; South Term
N055.44.03.530 E009.08.56.386 N055.44.03.351 E009.08.56.400 COLOR_TaxiwayBorder ; South Term
N055.44.03.351 E009.08.56.400 N055.44.03.324 E009.08.55.401 COLOR_TaxiwayBorder ; South Term
N055.44.03.324 E009.08.55.401 N055.44.03.296 E009.08.55.209 COLOR_TaxiwayBorder ; South Term
N055.44.03.296 E009.08.55.209 N055.44.03.255 E009.08.55.140 COLOR_TaxiwayBorder ; South Term
N055.44.03.255 E009.08.55.140 N055.44.02.843 E009.08.55.157 COLOR_TaxiwayBorder ; South Term
N055.44.02.843 E009.08.55.157 N055.44.02.761 E009.08.50.883 COLOR_TaxiwayBorder ; South Term
N055.44.02.761 E009.08.50.883 N055.44.03.255 E009.08.50.859 COLOR_TaxiwayBorder ; South Term
N055.44.03.255 E009.08.50.859 N055.44.03.296 E009.08.52.771 COLOR_TaxiwayBorder ; South Term
N055.44.03.296 E009.08.52.771 N055.44.03.214 E009.08.52.799 COLOR_TaxiwayBorder ; South Term
N055.44.03.214 E009.08.52.799 N055.44.03.159 E009.08.52.878 COLOR_TaxiwayBorder ; South Term
N055.44.03.159 E009.08.52.878 N055.44.03.132 E009.08.52.974 COLOR_TaxiwayBorder ; South Term
N055.44.03.132 E009.08.52.974 N055.44.03.145 E009.08.53.317 COLOR_TaxiwayBorder ; South Term
N055.44.03.145 E009.08.53.317 N055.44.03.173 E009.08.53.413 COLOR_TaxiwayBorder ; South Term
N055.44.03.173 E009.08.53.413 N055.44.03.241 E009.08.53.434 COLOR_TaxiwayBorder ; South Term
N055.44.03.241 E009.08.53.434 N055.44.03.983 E009.08.53.351 COLOR_TaxiwayBorder ; South Term
N055.44.03.983 E009.08.53.351 N055.44.03.969 E009.08.52.929 COLOR_TaxiwayBorder ; South Term
N055.44.03.969 E009.08.52.929 N055.44.04.464 E009.08.52.888 COLOR_TaxiwayBorder ; South Term
N055.44.04.464 E009.08.52.888 N055.44.04.477 E009.08.53.303 COLOR_TaxiwayBorder ; South Term
N055.44.04.477 E009.08.53.303 N055.44.04.999 E009.08.53.248 COLOR_TaxiwayBorder ; South Term
N055.44.04.999 E009.08.53.248 N055.44.04.999 E009.08.52.871 COLOR_TaxiwayBorder ; South Term
N055.44.04.999 E009.08.52.871 N055.44.05.123 E009.08.52.867 COLOR_TaxiwayBorder ; South Term
N055.44.05.123 E009.08.52.867 N055.44.05.123 E009.08.52.771 COLOR_TaxiwayBorder ; South Term
N055.44.05.123 E009.08.52.771 N055.44.06.469 E009.08.52.658 COLOR_TaxiwayBorder ; South Term
N055.44.06.469 E009.08.52.658 N055.44.06.455 E009.08.52.067 COLOR_TaxiwayBorder ; South Term
N055.44.06.455 E009.08.52.067 N055.44.08.309 E009.08.51.913 COLOR_TaxiwayBorder ; South Term
N055.44.08.309 E009.08.51.913 N055.44.08.336 E009.08.52.472 COLOR_TaxiwayBorder ; South Term
N055.44.08.336 E009.08.52.472 N055.44.09.902 E009.08.52.325 COLOR_TaxiwayBorder ; South Term
N055.44.09.902 E009.08.52.325 N055.44.09.888 E009.08.51.734 COLOR_TaxiwayBorder ; South Term
N055.44.09.888 E009.08.51.734 N055.44.10.932 E009.08.51.649 COLOR_TaxiwayBorder ; South Term
N055.44.10.932 E009.08.51.649 N055.44.10.973 E009.08.53.115 COLOR_TaxiwayBorder ; South Term
N055.44.10.973 E009.08.53.115 N055.44.10.657 E009.08.53.156 COLOR_TaxiwayBorder ; South Term
N055.44.10.657 E009.08.53.156 N055.44.10.685 E009.08.53.715 COLOR_TaxiwayBorder ; South Term
N055.44.10.685 E009.08.53.715 N055.44.14.750 E009.08.53.320 COLOR_TaxiwayBorder ; South Term
N055.44.14.750 E009.08.53.320 N055.44.15.381 E009.08.50.299 COLOR_TaxiwayBorder ; South Term
N055.44.15.381 E009.08.50.299 N055.44.15.244 E009.08.47.292 COLOR_TaxiwayBorder ; South Term
N055.44.15.244 E009.08.47.292 N055.44.18.197 E009.08.47.553 COLOR_TaxiwayBorder ; South Term
